time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1760915820,6712,6713.75,6712,6712.5,6716.384861129223,6718.929456419712,6713.840265838735,159
1760915880,6713,6713,6712,6712.5,6716.374084348317,6718.923349636673,6713.824819059962,64
1760915940,6712.5,6713.25,6712.25,6712.5,6716.342853254252,6718.903872521821,6713.7818339866835,196
1760916000,6712,6712,6711,6711.25,6716.293180593375,6718.888351873849,6713.6980093129005,237
1760916060,6711.25,6711.25,6708.75,6710,6716.080777663584,6718.8734783222,6713.288077004968,821
1760916120,6709.75,6709.75,6707.5,6708.25,6715.890286015818,6718.892116304804,6712.888455726831,627
1760916180,6708.5,6708.5,6707.5,6707.75,6715.749648950132,6718.904590917776,6712.594706982488,448
1760916240,6707.75,6708.25,6705.75,6706.5,6715.499556754551,6718.940752070442,6712.0583614386605,733
1760916300,6706.25,6706.25,6704,6704.25,6715.211248247019,6719.020943940815,6711.401552553223,726
1760916360,6704.5,6706,6702.75,6705.25,6714.984222829387,6719.051610969637,6710.916834689137,591
1760916420,6705,6705.25,6704,6704,6714.886202042806,6719.059501164118,6710.712902921494,257
1760916480,6704.25,6704.5,6702,6702.5,6714.63796027988,6719.103574859258,6710.172345700502,591
1760916540,6702.75,6704,6702.5,6702.75,6714.5403862550675,6719.111078200621,6709.969694309514,241
1760916600,6702.75,6704.5,6702.75,6703.5,6714.378118383505,6719.10394997198,6709.652286795031,429
1760916660,6703.75,6704.5,6702.75,6704.5,6714.244422292655,6719.084757563299,6709.4040870220115,375
1760916720,6704.5,6704.5,6703.5,6704,6714.17782574347,6719.072143699904,6709.283507787036,192
1760916780,6703.5,6704.5,6703,6704,6714.09409983432,6719.055909922895,6709.132289745746,241
1760916840,6703.75,6706,6703.75,6706,6713.927405979528,6718.987247817412,6708.867564141644,572
1760916900,6706,6706.5,6704.75,6705.25,6713.7680282115125,6718.909580345732,6708.626476077293,585
1760916960,6705.25,6705.5,6704.25,6705.25,6713.717862385224,6718.887160927487,6708.548563842962,178
1760917020,6705.5,6706,6704.75,6705.75,6713.672156518035,6718.863162512214,6708.481150523856,174
1760917080,6705.75,6705.75,6704.5,6704.5,6713.643425300541,6718.85004112331,6708.436809477772,103
1760917140,6704.5,6704.75,6704,6704.5,6713.610327185382,6718.836788381094,6708.383865989669,113
1760917200,6704.75,6705.25,6703.75,6705.25,6713.561098483654,6718.814467518818,6708.30772944849,176
1760917260,6705.25,6705.25,6703.5,6703.75,6713.444239202729,6718.76765547922,6708.120822926237,399
1760917320,6703.75,6704.5,6703.5,6703.5,6713.348717513429,6718.730727429045,6707.966707597812,322
1760917380,6703.5,6704,6703,6703.25,6713.21086473489,6718.680247841259,6707.74148162852,456
1760917440,6703.5,6703.75,6702.5,6702.5,6713.092853919063,6718.640116427056,6707.54559141107,381
1760917500,6702.75,6703.5,6701.5,6703.25,6712.885179561271,6718.564885911721,6707.205473210821,681
1760917560,6703,6703.5,6702.25,6703.25,6712.820320738138,6718.5373426823635,6707.103298793913,224
1760917620,6703,6704.5,6702.75,6704.25,6712.745918663763,6718.497167696982,6706.994669630545,285
1760917680,6704.25,6705.5,6704.25,6705.5,6712.665526492288,6718.439553492942,6706.891499491635,365
1760917740,6705.25,6705.5,6703.75,6704,6712.583366533866,6718.386667137804,6706.780065929928,350
1760917800,6704.25,6704.25,6702.25,6702.75,6712.485174284885,6718.337813625389,6706.632534944381,367
1760917860,6702.75,6704.25,6702.75,6703.5,6712.37371243939,6718.27435235925,6706.47307251953,446
1760917920,6703.5,6705,6703.5,6705,6712.33037130265,6718.243515489125,6706.417227116175,199
1760917980,6704.75,6705,6704.25,6704.5,6712.302826088956,6718.223433102964,6706.382219074948,129
1760918040,6704.75,6705.25,6704,6704.25,6712.2689929288235,6718.198954494542,6706.339031363105,158
1760918100,6704.5,6704.5,6703.5,6704.25,6712.226755032581,6718.17040349957,6706.283106565593,189
1760918160,6704.25,6704.5,6704,6704.25,6712.218270742995,6718.1644449355745,6706.272096550415,39
1760918220,6704,6704.75,6704,6704.75,6712.207550338619,6718.156542352142,6706.258558325095,51
1760918280,6704.5,6705.25,6704.25,6705.25,6712.174737013341,6718.130355286362,6706.21911874032,166
1760918340,6705.5,6706.75,6705,6705.75,6712.105525908844,6718.065087616747,6706.145964200941,407
1760918400,6705.5,6705.75,6703.25,6704.25,6711.968626263159,6717.961778151187,6705.975474375132,676
1760918460,6704.5,6705.75,6704,6705,6711.896014719428,6717.900581077422,6705.891448361434,395
1760918520,6705.5,6705.5,6704,6704.75,6711.8547146991505,6717.866358822278,6705.843070576023,223
1760918580,6704.5,6705.25,6703.25,6703.5,6711.733851349054,6717.77690579228,6705.690796905828,603
1760918640,6703.5,6704,6702.5,6703.5,6711.639111055045,6717.71311684737,6705.56510526272,447
1760918700,6703.5,6703.5,6702.5,6702.5,6711.58018812758,6717.676257960339,6705.484118294821,267
1760918760,6702.5,6703,6702.25,6703,6711.477389444832,6717.611441996982,6705.343336892682,470
1760918820,6702.75,6702.75,6701.75,6702,6711.418721899513,6717.577642918252,6705.259800880774,256
1760918880,6702,6702.25,6700.25,6701.5,6711.276288117773,6717.5062809667115,6705.046295268835,582
1760918940,6701.5,6703.25,6701.25,6702.25,6711.220562227691,6717.471408854328,6704.969715601053,256
1760919000,6702,6703,6701.5,6701.75,6711.180196078433,6717.446588428909,6704.913803727957,184
1760919060,6701.75,6702.25,6701,6701.5,6711.138671081257,6717.423140018115,6704.854202144398,181
1760919120,6701.25,6701.25,6699,6699.5,6710.935578141873,6717.340080524428,6704.531075759317,771
1760919180,6699.5,6700.5,6699,6700,6710.8060240498025,6717.28372158852,6704.328326511085,503
1760919240,6700.25,6700.25,6699,6700,6710.740496671435,6717.254485458856,6704.226507884014,257
1760919300,6700,6700.5,6698.75,6699.25,6710.6663325696845,6717.2222632367675,6704.110401902602,288
1760919360,6699.5,6700.5,6699.25,6699.5,6710.620013611341,6717.200389416399,6704.039637806283,186
1760919420,6699.25,6699.5,6698,6699.5,6710.547833068845,6717.170966598553,6703.924699539137,274
1760919480,6699.25,6699.5,6697.5,6698,6710.441328823768,6717.132588965705,6703.750068681832,388
1760919540,6698.25,6699.5,6696,6697,6710.272834645671,6717.080343238473,6703.4653260528685,587
1760919600,6696.75,6699,6696.25,6696.25,6710.130501316368,6717.035867473425,6703.225135159311,495
1760919660,6696.5,6697.25,6695.75,6696.25,6709.944705954495,6716.98398884666,6702.905423062329,626
1760919720,6696.5,6697.25,6695.5,6695.5,6709.856177737638,6716.9592981198475,6702.753057355429,297
1760919780,6695.5,6695.75,6693.75,6694.5,6709.693958089566,6716.929509439765,6702.458406739367,502
1760919840,6694.75,6701.25,6694,6700.25,6709.144359928792,6716.6031064367935,6701.685613420791,2427
1760919900,6700.5,6703,6698.5,6700.75,6708.93538683079,6716.415926507429,6701.454847154151,1262
1760919960,6700.75,6701.5,6699.25,6699.5,6708.824003376186,6716.322531674075,6701.325475078296,646
1760920020,6699.75,6700.5,6698.75,6700.5,6708.768999593489,6716.276837152455,6701.261162034522,319
1760920080,6700.5,6701.5,6698.5,6699.75,6708.679436449692,6716.201547104352,6701.157325795031,528
1760920140,6699.75,6700,6697.75,6698.5,6708.62305896923,6716.1607976248815,6701.085320313579,298
1760920200,6698.75,6700,6696.75,6696.75,6708.509352298722,6716.0877869553615,6700.930917642082,559
1760920260,6697,6698.75,6696.75,6698.5,6708.452404390028,6716.049555117965,6700.855253662092,289
1760920320,6698.75,6699,6697.25,6698,6708.4161746387645,6716.024682515817,6700.8076667617115,187
1760920380,6697.5,6699.25,6697.5,6698.75,6708.36456629492,6715.986718415498,6700.742414174342,280
1760920440,6699,6700,6697.25,6697.5,6708.27937255408,6715.925436715719,6700.63330839244,457
1760920500,6697.5,6700,6697.5,6698.25,6708.197858983497,6715.863009025717,6700.532708941278,460
1760920560,6698.25,6699,6698,6698.5,6708.13779559737,6715.816956326075,6700.458634868665,341
1760920620,6698.5,6700.75,6698.5,6700.75,6708.092379034443,6715.774041103386,6700.410716965501,309
1760920680,6700.5,6702.5,6700.25,6702.5,6708.001486505733,6715.665069470452,6700.3379035410135,805
1760920740,6702.5,6704,6702,6704,6707.933756147769,6715.5619911807535,6700.305521114784,827
1760920800,6703.75,6706.25,6703.5,6704.75,6707.876626656794,6715.445748301835,6700.307505011752,1070
1760920860,6704.75,6705.5,6703.25,6703.5,6707.851062495368,6715.401017178275,6700.301107812461,394
1760920920,6703.25,6705.25,6703.25,6705,6707.8351463461695,6715.370673106094,6700.299619586245,279
1760920980,6704.75,6706.5,6704.75,6706.5,6707.824428945468,6715.3402383215625,6700.308619569373,330
1760921040,6706.25,6708.25,6705.75,6708.25,6707.817734523294,6715.271773417646,6700.363695628943,986
1760921100,6708.25,6708.75,6707.5,6707.5,6707.818520568009,6715.2428933477695,6700.394147788249,481
1760921160,6707.5,6708.5,6707.5,6708.25,6707.819921624686,6715.224653048976,6700.415190200396,322
1760921220,6708.5,6711.25,6708.5,6710.5,6707.849468642904,6715.210194787301,6700.488742498507,805
1760921280,6710.75,6712.75,6710,6711,6707.904640545815,6715.218039988268,6700.591241103361,1017
1760921340,6711,6711.25,6709.5,6710.75,6707.919256374462,6715.2146195925,6700.623893156424,355
1760921400,6710.75,6712.25,6710.5,6711.75,6707.937453966751,6715.218708984283,6700.656198949218,322
1760921460,6711.75,6714,6711.75,6713.75,6707.973924457331,6715.242782573244,6700.705066341418,445
1760921520,6714,6715.25,6713,6714.75,6708.062863802606,6715.319243692605,6700.806483912608,905
1760921580,6714.25,6714.5,6712.25,6712.75,6708.086572478927,6715.334392365607,6700.838752592248,302
1760921640,6712.75,6713.25,6711.5,6712,6708.111083077205,6715.344552836884,6700.877613317526,385
1760921700,6712,6714,6712,6713.5,6708.130335988952,6715.356731324407,6700.903940653497,250
1760921760,6713.75,6714.25,6712.25,6714.25,6708.150776246699,6715.371308477534,6700.930244015864,247
1760921820,6714,6714.75,6713.5,6714.25,6708.170250448761,6715.387181234911,6700.953319662612,214
1760921880,6714.5,6717,6714.25,6715.75,6708.226746484513,6715.445602980972,6701.007889988054,502
1760921940,6716,6716.25,6714.5,6714.5,6708.26115949173,6715.478161127379,6701.04415785608,336
1760922000,6714.75,6716.25,6714,6714.75,6708.2933174265745,6715.508040848412,6701.078594004737,321
1760922060,6714.75,6715.25,6713.75,6715,6708.322742025383,6715.533746515269,6701.111737535498,312
1760922120,6714.75,6715,6713.75,6714.25,6708.345160347132,6715.552024163576,6701.138296530688,253
