ticker,cik,accession,primary,filing_date,MD&A_pos,MD&A_neg,MD&A_sent,MD&A_boost,Results_pos,Results_neg,Results_sent,Results_boost,sent_overall,close_0,close_7,close_28,ret_7,ret_28,RiskFactors_pos,RiskFactors_neg,RiskFactors_sent,RiskFactors_boost
ASTE,0000792987,000079298725000029,aste-20250331.htm,2025-04-29,4.4621854613069445e-05,1.8781298422254622e-05,2.5840556190814823e-05,0.0,0.00018107144569512457,0.00015810075274202973,2.297069295309484e-05,0.0,-0.1005841385946648,37.63,38.14,39.92,1.3553016210470226,6.085570023917075,0.06316668540239334,0.3649679124355316,-0.3018012270331383,0.0
ASTE,0000792987,000079298724000054,aste-20240930.htm,2024-11-07,3.9921571442391723e-05,1.371452435705578e-05,2.6207047085335944e-05,0.0,0.00022960786009207368,0.00027631307602860034,-4.6705215936526656e-05,0.0,-0.0888279681842808,37.13,37.28,37.99,0.4039859951521674,2.316186372205764,0.07868804782629013,0.34515145421028137,-0.26646340638399124,0.0
ASTE,0000792987,000079298724000044,aste-20240630.htm,2024-08-08,3.9921571442391723e-05,1.371452435705578e-05,2.6207047085335944e-05,0.0,0.00022960786009207368,0.00027631307602860034,-4.6705215936526656e-05,0.0,-0.0888279681842808,31.74,33.02,30.82,4.0327662255828844,-2.898550724637672,0.07868804782629013,0.34515145421028137,-0.26646340638399124,0.0
ASTE,0000792987,000079298724000027,aste-20240331.htm,2024-05-02,4.4621854613069445e-05,1.8781298422254622e-05,2.5840556190814823e-05,0.0,0.00018107144569512457,0.00015810075274202973,2.297069295309484e-05,0.0,-0.08145165856937335,33.16,34.89,32.18,5.21712907117009,-2.9553679131483657,0.07205008715391159,0.31645387411117554,-0.24440378695726395,0.0
ASTE,0000792987,000079298723000075,aste-20230930.htm,2023-11-02,3.4211720048915595e-05,1.5907802662695758e-05,1.8303917386219837e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.06993272503981036,29.81,29.91,31.09,0.33545790003355336,4.293861120429399,0.08685334026813507,0.2966686189174652,-0.20981527864933014,0.0
MHO,0000799292,000079929225000077,mho-20250930.htm,2025-10-24,3.515271964715794e-05,1.7065811334759928e-05,1.808690831239801e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.06978541371609026,129.8,,,,,0.05776514485478401,0.26713827252388,-0.209373127669096,0.0
MHO,0000799292,000079929225000059,mho-20250630.htm,2025-07-25,3.515271964715794e-05,1.7065811334759928e-05,1.808690831239801e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.06978541371609026,122.19,122.64,146.92,0.36827890989443723,20.238972092642605,0.05776514485478401,0.26713827252388,-0.209373127669096,0.0
MHO,0000799292,000079929225000033,mho-20250331.htm,2025-04-25,6.0418955399654806e-05,2.05963497137418e-05,3.9822605685913004e-05,0.0,0.00018359873502049595,0.000128710555145517,5.488817987497896e-05,0.0,-0.036956639671188896,105.57,110.53,106.35,4.698304442549972,0.7388462631429338,0.057753514498472214,0.1687181442975998,-0.11096462979912758,0.0
MHO,0000799292,000079929224000092,mho-20240930.htm,2024-11-01,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.03439780502897823,150.23,167.03,165.03,11.18285295879653,9.851560939892167,0.06788884103298187,0.17118756473064423,-0.10329872369766235,0.0
MHO,0000799292,000079929224000070,mho-20240630.htm,2024-07-31,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.03439780502897823,166.83,140.17,159.52,-15.980339267517852,-4.381705928190371,0.06788884103298187,0.17118756473064423,-0.10329872369766235,0.0
MHO,0000799292,000079929224000039,mho-20240331.htm,2024-04-26,6.0418955399654806e-05,2.05963497137418e-05,3.9822605685913004e-05,0.0,0.00018359873502049595,0.000128710555145517,5.488817987497896e-05,0.0,-0.034401337637367156,120.07,122.02,124.8,1.6240526359623475,3.939368701590751,0.06788884103298187,0.17118756473064423,-0.10329872369766235,0.0
CELH,0001341766,000134176625000104,celh-20250630.htm,2025-08-08,8.416241325903684e-05,1.705080649117008e-05,6.711160676786676e-05,0.0,0.0003771692281588912,0.0003570760600268841,2.0093168132007122e-05,0.0,-0.06902616489242064,51.95,57.3,58.37,10.29836381135707,12.358036573628484,0.03715779259800911,0.2443234920501709,-0.2071656994521618,0.0
CELH,0001341766,000134176625000080,celh-20250331.htm,2025-05-06,7.283369632204995e-05,1.6307410987792537e-05,5.652628533425741e-05,0.0,0.00027340155793353915,0.00021962208847980946,5.377946945372969e-05,0.0,-0.043593262663004374,35.52,37.93,39.18,6.7849099099098975,10.304054054054035,0.07934612780809402,0.21023622155189514,-0.13089009374380112,0.0
CELH,0001341766,000134176624000093,celh-20240930.htm,2024-11-06,0.00010233979992335662,2.238682827737648e-05,7.995297164598014e-05,0.0,0.0002554604143369943,0.0002102061262121424,4.525428812485188e-05,0.0,-0.0672306988787265,30.04,27.04,28.97,-9.986684420772306,-3.561917443408791,0.05964583158493042,0.26146313548088074,-0.20181730389595032,0.0
CELH,0001341766,000134176624000057,celh-20240630.htm,2024-08-06,7.283369632204995e-05,1.6307410987792537e-05,5.652628533425741e-05,0.0,0.00027340155793353915,0.00021962208847980946,5.377946945372969e-05,0.0,-0.043593262663004374,40.38,39.48,36.64,-2.2288261515601926,-9.262010896483408,0.07934612780809402,0.21023622155189514,-0.13089009374380112,0.0
