ticker,filing_date,bucket,Δsent_overall,pred_28d_pct,direction_rule,signal_strength,direction,filled,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl_pct,bars_held
EOG,2022-05-05,large,-1.880071340565337e-05,4.79360781334595,dsent_sign,4.79360781334595,short,True,2022-05-05,2022-05-05,126.11,124.2054,tsl,1.533,1
EOG,2022-08-04,large,1.880071340565337e-05,4.795156333726329,dsent_sign,4.795156333726329,long,True,2022-08-04,2022-08-04,102.68,101.1458,tsl,-1.494,1
EOG,2022-11-03,large,0.0,4.7943820735361395,dsent_sign,4.7943820735361395,short,True,2022-11-03,2022-11-03,134.62,136.7004,tsl,-1.522,1
EOG,2023-05-04,large,0.20519694093530158,9.736280863117862,dsent_sign,9.736280863117862,long,True,2023-05-04,2023-05-04,111.49,110.9654,tsl,-0.471,1
EOG,2023-08-03,large,0.06682756392062181,7.546507550619608,dsent_sign,7.546507550619608,long,True,2023-08-03,2023-08-03,130.36,130.63400000000001,tsl,0.21,1
EOG,2024-08-01,large,0.007120588492364105,5.087625637298837,dsent_sign,5.087625637298837,long,True,2024-08-01,2024-08-01,127.12,125.44979999999998,tsl,-1.314,1
EOG,2025-05-01,large,-1.9564267859095708e-05,4.793576368272373,dsent_sign,4.793576368272373,short,True,2025-05-01,2025-05-01,109.535,111.4554,tsl,-1.723,1
EOG,2025-08-07,large,8.178499956557062e-05,4.797750183455798,dsent_sign,4.797750183455798,long,True,2025-08-07,2025-08-07,117.16,116.82579999999999,tsl,-0.285,1
FDX,2022-03-17,large,0.007761550446351295,5.1140220465036474,dsent_sign,5.1140220465036474,long,True,2022-03-17,2022-03-17,221.73,224.8267,tsl,1.397,1
FDX,2022-09-22,large,0.015240064625989702,5.422005881272187,dsent_sign,5.422005881272187,long,True,2022-09-22,2022-09-22,152.62,157.4468,tsl,3.163,1
FDX,2022-12-20,large,-0.017846049234321995,4.059437330953542,dsent_sign,4.059437330953542,short,True,2022-12-20,2022-12-20,167.92,165.86220000000003,tsl,1.241,1
FDX,2023-03-16,large,0.0,4.7943820735361395,dsent_sign,4.7943820735361395,short,True,2023-03-16,2023-03-16,196.29,199.2417,tsl,-1.481,1
FDX,2023-09-20,large,-0.0007330015232583087,4.7641952456982075,dsent_sign,4.7641952456982075,short,True,2023-09-20,2023-09-21,251.65,255.1734,tsl,-1.381,2
FDX,2023-12-19,large,0.0007330015232583087,4.824568901374072,dsent_sign,4.824568901374072,long,True,2023-12-19,2023-12-20,281.07,277.908302,tsl,-1.125,2
FDX,2024-03-21,large,0.002608664589085194,4.901813376663013,dsent_sign,4.901813376663013,long,True,2024-03-21,2024-03-21,259.55,260.21939999999995,tsl,0.258,1
FDX,2024-09-19,large,0.025645622221721502,5.850532651999437,dsent_sign,5.850532651999437,long,True,2024-09-19,2024-09-19,304.13,301.84,tsl,-0.753,1
FDX,2024-12-19,large,0.003812745099215399,4.951400410126108,dsent_sign,4.951400410126108,long,True,2024-12-19,2024-12-20,274.52,289.33912000000004,tsl,5.398,2
FDX,2025-03-20,large,0.0025552548468113015,4.899613830490553,dsent_sign,4.899613830490553,long,True,2025-03-20,2025-03-20,244.89,245.196,tsl,0.125,1
FDX,2025-09-18,large,-0.035355288280091705,3.3383632705636552,dsent_sign,3.3383632705636552,short,True,2025-09-18,2025-09-19,227.88,229.271418,tsl,-0.607,2
GOOG,2023-04-26,mega,-0.09961417321991689,3.114943508836057,dsent_sign,3.114943508836057,short,True,2023-04-26,2023-04-26,105.56,105.33539999999999,tsl,0.213,1
GOOG,2024-07-24,mega,-0.235310654602641,3.3313718378421027,dsent_sign,3.3313718378421027,short,True,2024-07-24,2024-07-24,175.39,177.0414,tsl,-0.933,1
INSW,2022-08-09,mid,0.4430713678653271,7.189964609586084,dsent_sign,7.189964609586084,long,True,2022-08-09,2022-08-09,25.97,26.7638,tsl,3.057,1
INSW,2022-11-08,mid,0.030379864733655906,4.193837446906856,dsent_sign,4.193837446906856,long,True,2022-11-08,2022-11-08,44.1,46.050200000000004,tsl,4.422,1
INSW,2023-05-05,mid,0.03193357659690339,4.245780219617677,dsent_sign,4.245780219617677,long,True,2023-05-05,2023-05-05,38.18,39.4744,tsl,3.39,1
INSW,2023-11-07,mid,-6.315460296946185e-07,3.178174729497141,dsent_sign,3.178174729497141,short,True,2023-11-07,2023-11-07,49.395,47.6034,tsl,3.764,1
INSW,2024-05-08,mid,0.02306292087991739,3.949221723410871,dsent_sign,3.949221723410871,long,True,2024-05-08,2024-05-08,58.35,60.318999999999996,tsl,3.374,1
INSW,2024-08-07,mid,3.877554263451155e-05,3.179492163892861,dsent_sign,3.179492163892861,long,True,2024-08-07,2024-08-07,50.51,50.47,tsl,-0.079,1
INSW,2024-11-07,mid,0.0004836861467567011,3.1943661511058115,dsent_sign,3.1943661511058115,long,True,2024-11-07,2024-11-07,45.0,45.178,tsl,0.396,1
INSW,2025-08-06,mid,0.1451046487054555,7.189964609586084,dsent_sign,7.189964609586084,long,True,2025-08-06,2025-08-06,43.1,44.431141999999994,tsl,3.088,1
PEP,2022-07-12,large,-0.018035479583734998,4.051636117499591,dsent_sign,4.051636117499591,short,True,2022-07-12,2022-07-12,173.0,172.2474,tsl,0.437,1
PEP,2022-10-12,large,0.027038311148013798,5.907887049658668,dsent_sign,5.907887049658668,long,True,2022-10-12,2022-10-12,168.73,167.285314,tsl,-0.856,1
PEP,2023-04-25,large,0.023037900235522102,5.743140167606399,dsent_sign,5.743140167606399,long,True,2023-04-25,2023-04-25,186.56,186.3764,tsl,-0.098,1
PEP,2023-10-10,large,0.0,4.7943820735361395,dsent_sign,4.7943820735361395,short,True,2023-10-10,2023-10-11,164.25,164.832,tsl,-0.353,2
PEP,2024-04-23,large,0.03501347614580169,6.236324201736022,dsent_sign,6.236324201736022,long,True,2024-04-23,2024-04-23,174.7,171.3824,tsl,-1.899,1
PEP,2024-07-11,large,-0.023068626116582905,3.8443586111790196,dsent_sign,3.8443586111790196,short,True,2024-07-11,2024-07-11,159.1,161.19060000000002,tsl,-1.297,1
PEP,2024-10-08,large,-0.00037025994697609255,4.779133847004542,dsent_sign,4.779133847004542,short,True,2024-10-08,2024-10-08,167.72,170.18699999999998,tsl,-1.45,1
PEP,2025-04-24,large,0.0234317223286477,5.759358741984133,dsent_sign,5.759358741984133,long,True,2025-04-24,2025-04-24,141.45,139.013,tsl,-1.723,1
PEP,2025-07-17,large,-0.010642135219768506,4.356112447193315,dsent_sign,4.356112447193315,short,True,2025-07-17,2025-07-17,141.7,144.47279999999998,tsl,-1.919,1
PEP,2025-10-09,large,-0.019079847414711103,4.008626449834766,dsent_sign,4.008626449834766,short,True,2025-10-09,2025-10-09,140.46,141.36180000000002,tsl,-0.638,1
ROKU,2022-04-29,large,0.0130664396577534,5.332490592942758,dsent_sign,5.332490592942758,long,True,2022-04-29,2022-04-29,96.84,99.2642,tsl,2.503,1
ROKU,2022-07-29,large,-0.013069972577795803,4.256128059685511,dsent_sign,4.256128059685511,short,True,2022-07-29,2022-07-29,66.1,63.24,tsl,4.522,1
ROKU,2022-11-03,large,-0.013212490826845197,4.25025880333159,dsent_sign,4.25025880333159,short,True,2022-11-03,2022-11-03,44.745,45.39,tsl,-1.421,1
ROKU,2023-04-27,large,-0.0188793700399401,4.016882607299094,dsent_sign,4.016882607299094,short,True,2023-04-27,2023-04-27,54.82,54.9066,tsl,-0.158,1
ROKU,2023-07-28,large,0.0451913078625997,6.65547265375111,dsent_sign,6.65547265375111,long,True,2023-07-28,2023-07-28,74.9788,87.915702,tsl,17.254,1
ROKU,2023-11-02,large,-0.013099446995814404,4.254914229762763,dsent_sign,4.254914229762763,short,True,2023-11-02,2023-11-02,70.86,70.56360000000001,tsl,0.42,1
ROKU,2024-04-26,large,-0.032091860866785296,3.472759337094545,dsent_sign,3.472759337094545,short,True,2024-04-26,2024-04-26,60.73,57.222102,tsl,6.13,1
ROKU,2024-08-02,large,0.0451913078625997,6.65547265375111,dsent_sign,6.65547265375111,long,True,2024-08-02,2024-08-02,56.9,56.8204,tsl,-0.14,1
